Frame,middle,rear,left_front,left_hind,head,right_hind,right_front
65.25,"(11.25, 265.50)","(18.17, 209.17)","(-43.75, 272.50)","(-40.00, 204.00)","(-1.25, 310.25)","(50.50, 187.38)","(52.50, 301.50)"
65.5,"(11.50, 267.00)","(18.34, 210.33)","(-45.50, 275.00)","(-40.00, 204.00)","(-0.50, 311.50)","(52.34, 195.58)","(51.00, 301.00)"
65.75,"(11.75, 268.50)","(18.50, 211.50)","(-47.25, 277.50)","(-40.00, 204.00)","(0.25, 312.75)","(54.17, 203.79)","(49.50, 300.50)"
66.0,"(12.00, 270.00)","(18.67, 212.67)","(-49.00, 280.00)","(-40.00, 204.00)","(1.00, 314.00)","(56.00, 212.00)","(48.00, 300.00)"
66.25,"(12.00, 270.00)","(18.84, 213.83)","(-48.25, 280.25)","(-40.00, 204.00)","(1.00, 314.00)","(54.98, 208.01)","(48.00, 300.00)"
66.5,"(12.00, 270.00)","(19.00, 215.00)","(-47.50, 280.50)","(-40.00, 204.00)","(1.00, 314.00)","(53.97, 204.01)","(48.00, 300.00)"
66.75,"(12.00, 270.00)","(19.16, 216.17)","(-46.75, 280.75)","(-40.00, 204.00)","(1.00, 314.00)","(52.95, 200.02)","(48.00, 300.00)"
67.0,"(12.00, 270.00)","(19.33, 217.33)","(-46.00, 281.00)","(-40.00, 204.00)","(1.00, 314.00)","(51.94, 196.03)","(48.00, 300.00)"
67.25,"(11.25, 271.50)","(19.50, 218.50)","(-46.75, 283.25)","(-39.00, 204.00)","(0.75, 315.50)","(51.95, 197.02)","(47.50, 300.00)"
67.5,"(10.50, 273.00)","(19.66, 219.67)","(-47.50, 285.50)","(-38.00, 204.00)","(0.50, 317.00)","(51.97, 198.01)","(47.00, 300.00)"
67.75,"(9.75, 274.50)","(19.83, 220.83)","(-48.25, 287.75)","(-37.00, 204.00)","(0.25, 318.50)","(51.98, 199.01)","(46.50, 300.00)"
68.0,"(9.00, 276.00)","(20.00, 222.00)","(-49.00, 290.00)","(-36.00, 204.00)","(0.00, 320.00)","(52.00, 200.00)","(46.00, 300.00)"
68.25,"(8.25, 277.00)","(21.00, 224.50)","(-49.38, 294.38)","(-35.75, 204.00)","(0.50, 321.50)","(53.00, 204.34)","(45.50, 299.00)"
68.5,"(7.50, 278.00)","(22.00, 227.00)","(-49.75, 298.75)","(-35.50, 204.00)","(1.00, 323.00)","(54.00, 208.67)","(45.00, 298.00)"
68.75,"(6.75, 279.00)","(23.00, 229.50)","(-50.12, 303.12)","(-35.25, 204.00)","(1.50, 324.50)","(54.99, 213.00)","(44.50, 297.00)"
69.0,"(6.00, 280.00)","(24.00, 232.00)","(-50.50, 307.50)","(-35.00, 204.00)","(2.00, 326.00)","(55.99, 217.34)","(44.00, 296.00)"
69.25,"(4.00, 282.00)","(22.25, 233.50)","(-51.38, 313.12)","(-35.25, 204.00)","(2.00, 327.50)","(56.99, 218.00)","(43.50, 295.50)"
69.5,"(2.00, 284.00)","(20.50, 235.00)","(-52.25, 318.75)","(-35.50, 204.00)","(2.00, 329.00)","(58.00, 218.67)","(43.00, 295.00)"
69.75,"(0.00, 286.00)","(18.75, 236.50)","(-53.12, 324.38)","(-35.75, 204.00)","(2.00, 330.50)","(59.00, 219.34)","(42.50, 294.50)"
70.0,"(-2.00, 288.00)","(17.00, 238.00)","(-54.00, 330.00)","(-36.00, 204.00)","(2.00, 332.00)","(60.00, 220.00)","(42.00, 294.00)"
70.25,"(-2.00, 290.00)","(17.75, 241.00)","(-53.14, 331.39)","(-36.00, 204.00)","(3.00, 334.00)","(60.50, 224.50)","(41.00, 294.00)"
70.5,"(-2.00, 292.00)","(18.50, 244.00)","(-52.29, 332.79)","(-36.00, 204.00)","(4.00, 336.00)","(61.00, 229.00)","(40.00, 294.00)"
70.75,"(-2.00, 294.00)","(19.25, 247.00)","(-51.44, 334.19)","(-36.00, 204.00)","(5.00, 338.00)","(61.50, 233.50)","(39.00, 294.00)"
71.0,"(-2.00, 296.00)","(20.00, 250.00)","(-50.58, 335.58)","(-36.00, 204.00)","(6.00, 340.00)","(62.00, 238.00)","(38.00, 294.00)"
71.25,"(-2.50, 297.50)","(19.00, 251.50)","(-50.19, 343.69)","(-36.50, 204.50)","(6.00, 341.00)","(64.00, 241.00)","(36.75, 293.50)"
71.5,"(-3.00, 299.00)","(18.00, 253.00)","(-49.79, 351.79)","(-37.00, 205.00)","(6.00, 342.00)","(66.00, 244.00)","(35.50, 293.00)"
71.75,"(-3.50, 300.50)","(17.00, 254.50)","(-49.39, 359.89)","(-37.50, 205.50)","(6.00, 343.00)","(68.00, 247.00)","(34.25, 292.50)"
72.0,"(-4.00, 302.00)","(16.00, 256.00)","(-49.00, 368.00)","(-38.00, 206.00)","(6.00, 344.00)","(70.00, 250.00)","(33.00, 292.00)"
72.25,"(-4.00, 302.00)","(16.00, 256.00)","(-49.00, 368.00)","(-38.00, 206.00)","(6.00, 344.00)","(70.00, 250.00)","(33.00, 292.00)"
72.5,"(-4.00, 302.00)","(16.00, 256.00)","(-49.00, 368.00)","(-38.00, 206.00)","(6.00, 344.00)","(70.00, 250.00)","(33.00, 292.00)"
72.75,"(-4.00, 302.00)","(16.00, 256.00)","(-49.00, 368.00)","(-38.00, 206.00)","(6.00, 344.00)","(70.00, 250.00)","(33.00, 292.00)"
73.0,"(-4.00, 302.00)","(16.00, 256.00)","(-49.00, 368.00)","(-38.00, 206.00)","(6.00, 344.00)","(70.00, 250.00)","(33.00, 292.00)"
73.25,"(-3.00, 303.25)","(15.50, 255.50)","(-48.25, 371.00)","(-38.00, 206.50)","(7.25, 345.50)","(71.50, 253.50)","(31.25, 292.00)"
73.5,"(-2.00, 304.50)","(15.00, 255.00)","(-47.50, 374.00)","(-38.00, 207.00)","(8.50, 347.00)","(73.00, 257.00)","(29.50, 292.00)"
73.75,"(-1.00, 305.75)","(14.50, 254.50)","(-46.75, 377.00)","(-38.00, 207.50)","(9.75, 348.50)","(74.50, 260.50)","(27.75, 292.00)"
74.0,"(0.00, 307.00)","(14.00, 254.00)","(-46.00, 380.00)","(-38.00, 208.00)","(11.00, 350.00)","(76.00, 264.00)","(26.00, 292.00)"
74.25,"(-1.50, 308.25)","(13.25, 256.00)","(-44.50, 382.25)","(-37.00, 208.50)","(11.00, 351.25)","(73.25, 265.38)","(26.00, 294.00)"
74.5,"(-3.00, 309.50)","(12.50, 258.00)","(-43.00, 384.50)","(-36.00, 209.00)","(11.00, 352.50)","(70.50, 266.75)","(26.00, 296.00)"
74.75,"(-4.50, 310.75)","(11.75, 260.00)","(-41.50, 386.75)","(-35.00, 209.50)","(11.00, 353.75)","(67.75, 268.12)","(26.00, 298.00)"
75.0,"(-6.00, 312.00)","(11.00, 262.00)","(-40.00, 389.00)","(-34.00, 210.00)","(11.00, 355.00)","(65.00, 269.50)","(26.00, 300.00)"
75.25,"(-5.50, 312.50)","(7.75, 260.00)","(-39.50, 391.25)","(-35.00, 209.50)","(10.00, 355.75)","(64.75, 273.12)","(28.92, 300.08)"
75.5,"(-5.00, 313.00)","(4.50, 258.00)","(-39.00, 393.50)","(-36.00, 209.00)","(9.00, 356.50)","(64.50, 276.75)","(31.84, 300.16)"
75.75,"(-4.50, 313.50)","(1.25, 256.00)","(-38.50, 395.75)","(-37.00, 208.50)","(8.00, 357.25)","(64.25, 280.38)","(34.75, 300.25)"
76.0,"(-4.00, 314.00)","(-2.00, 254.00)","(-38.00, 398.00)","(-38.00, 208.00)","(7.00, 358.00)","(64.00, 284.00)","(37.67, 300.33)"
76.25,"(-3.00, 315.25)","(-1.00, 254.50)","(-37.00, 399.75)","(-37.50, 210.50)","(8.25, 359.75)","(63.00, 284.75)","(40.25, 301.75)"
76.5,"(-2.00, 316.50)","(0.00, 255.00)","(-36.00, 401.50)","(-37.00, 213.00)","(9.50, 361.50)","(62.00, 285.50)","(42.84, 303.16)"
76.75,"(-1.00, 317.75)","(1.00, 255.50)","(-35.00, 403.25)","(-36.50, 215.50)","(10.75, 363.25)","(61.00, 286.25)","(45.42, 304.58)"
77.0,"(0.00, 319.00)","(2.00, 256.00)","(-34.00, 405.00)","(-36.00, 218.00)","(12.00, 365.00)","(60.00, 287.00)","(48.00, 306.00)"
77.25,"(0.00, 320.25)","(3.00, 259.00)","(-34.00, 405.25)","(-35.75, 220.00)","(12.00, 366.25)","(59.75, 287.25)","(47.25, 306.00)"
77.5,"(0.00, 321.50)","(4.00, 262.00)","(-34.00, 405.50)","(-35.50, 222.00)","(12.00, 367.50)","(59.50, 287.50)","(46.50, 306.00)"
77.75,"(0.00, 322.75)","(5.00, 265.00)","(-34.00, 405.75)","(-35.25, 224.00)","(12.00, 368.75)","(59.25, 287.75)","(45.75, 306.00)"
78.0,"(0.00, 324.00)","(6.00, 268.00)","(-34.00, 406.00)","(-35.00, 226.00)","(12.00, 370.00)","(59.00, 288.00)","(45.00, 306.00)"
