Frame,middle,rear,left_front,left_hind,head,right_hind,right_front
35.45940594059406,"(-8.74, 114.85)","(5.98, 57.04)","(-44.34, 196.28)","(-40.32, 12.96)","(10.02, 159.98)","(44.84, 76.42)","(42.70, 114.48)"
35.71089108910891,"(-9.02, 116.13)","(5.33, 57.55)","(-43.09, 199.59)","(-38.81, 13.34)","(9.89, 161.09)","(46.06, 78.04)","(43.15, 113.90)"
35.962376237623765,"(-9.35, 117.58)","(4.52, 58.62)","(-42.12, 202.58)","(-37.14, 14.04)","(9.23, 162.11)","(48.00, 79.01)","(43.75, 113.32)"
36.21386138613862,"(-9.84, 118.41)","(3.49, 59.74)","(-41.84, 204.41)","(-35.84, 14.41)","(8.16, 162.41)","(50.21, 79.48)","(44.16, 112.41)"
36.46534653465346,"(-10.16, 118.81)","(2.62, 61.06)","(-41.95, 205.29)","(-35.11, 14.67)","(7.29, 162.37)","(52.70, 80.62)","(44.46, 111.75)"
36.716831683168316,"(-10.22, 118.82)","(1.98, 62.27)","(-42.17, 205.37)","(-35.23, 14.77)","(6.95, 162.22)","(55.31, 82.92)","(44.55, 111.55)"
36.96831683168317,"(-10.08, 118.60)","(1.45, 63.00)","(-42.20, 204.93)","(-36.24, 14.65)","(7.28, 162.15)","(57.87, 86.12)","(44.42, 111.80)"
37.21980198019802,"(-9.49, 119.14)","(1.18, 63.81)","(-41.49, 205.14)","(-37.49, 15.14)","(8.51, 163.14)","(60.51, 90.14)","(44.51, 113.14)"
37.47128712871287,"(-8.78, 120.11)","(0.70, 64.26)","(-40.32, 205.75)","(-38.74, 15.77)","(10.11, 164.71)","(62.69, 93.43)","(44.71, 114.75)"
37.722772277227726,"(-7.97, 121.51)","(-0.07, 64.67)","(-38.92, 206.86)","(-39.49, 16.60)","(11.67, 166.73)","(64.14, 95.26)","(45.12, 116.29)"
37.97425742574257,"(-6.91, 123.28)","(-0.91, 65.54)","(-37.56, 208.40)","(-39.40, 17.72)","(12.87, 168.99)","(64.73, 95.64)","(45.76, 117.49)"
